Year,Crop Type,Yield (tons per hectare),Soil Quality Score,Rainfall (mm/year),Temperature (°C)
2021,Corn,5.02,6.8,1214.5,20.5
2022,Soybean,2.08,7.13,1246.3,14.2
2021,Soybean,1.25,6.56,807.0,32.0
2024,Barley,2.23,5.08,1386.7,23.9
2023,Rice,1.86,6.96,779.2,15.8
2021,Corn,3.9,7.82,997.3,22.6
2022,Barley,6.18,9.11,1782.5,28.3
2020,Corn,2.91,7.45,810.6,34.0
2023,Rice,1.6,8.33,606.7,15.5
2021,Soybean,0.61,4.12,603.5,32.2
2022,Wheat,4.07,6.23,1911.2,33.4
2021,Soybean,0.8,3.07,1260.4,32.9
2024,Barley,1.62,4.73,1114.1,25.9
2023,Wheat,3.71,8.09,1716.3,25.7
2020,Barley,6.82,9.94,1753.7,20.1
2022,Rice,1.76,3.69,998.3,28.8
2021,Wheat,3.62,5.81,1540.4,23.3
2023,Barley,3.89,8.6,1656.7,26.9
2021,Rice,2.17,4.43,1482.0,20.7
2023,Soybean,1.17,6.89,727.4,28.3
2024,Rice,5.11,8.13,1813.8,30.6
2021,Corn,3.79,7.31,1308.6,13.7
2024,Rice,1.63,4.32,923.7,30.8
2022,Rice,2.26,5.49,1137.8,23.5
2024,Corn,2.88,8.49,556.4,31.1
2023,Barley,1.77,6.88,691.8,20.8
2022,Barley,1.9,3.04,1648.3,19.5
2021,Rice,1.26,8.33,500.0,32.9
2021,Corn,2.38,3.25,1124.8,16.3
2023,Corn,5.52,8.22,1283.8,31.1
2020,Soybean,0.55,4.42,582.0,22.1
2020,Barley,5.56,9.71,1959.6,22.9
2021,Wheat,1.44,5.58,839.2,17.7
2023,Barley,1.72,5.29,956.3,24.3
2020,Barley,1.36,4.04,955.9,18.1
2024,Soybean,0.89,5.14,845.6,11.0
2021,Wheat,1.74,9.14,502.2,16.8
2024,Soybean,3.42,9.97,1594.0,10.2
2023,Wheat,2.63,5.58,1950.3,34.5
2024,Rice,1.73,6.14,836.4,34.1
2020,Wheat,5.1,8.05,1494.6,19.9
2020,Soybean,4.79,9.2,1612.8,28.2
2022,Barley,4.0,7.15,1772.6,18.6
2021,Wheat,2.6,5.74,1133.9,26.8
2023,Wheat,2.1,5.89,954.4,30.1
2021,Corn,3.28,7.87,987.9,33.7
2024,Barley,1.32,3.02,1568.9,20.0
2023,Rice,4.56,7.34,1725.2,29.6
2023,Soybean,1.04,5.49,772.4,16.6
2020,Rice,4.33,8.56,1056.4,34.8
2024,Barley,2.32,3.65,1852.9,10.6
2020,Wheat,4.4,7.12,1710.0,25.1
2020,Wheat,3.86,6.37,1977.3,26.5
2022,Barley,4.14,7.5,1631.4,27.2
2020,Wheat,1.26,3.45,1089.8,13.0
2021,Wheat,3.19,7.06,1386.0,33.5
2023,Wheat,4.08,6.93,1491.5,14.5
2020,Soybean,1.13,6.92,617.7,25.6
2021,Soybean,2.54,7.22,1316.7,15.6
2024,Corn,4.84,7.74,1564.0,17.7
2023,Rice,2.55,8.63,751.0,23.7
2024,Barley,3.2,4.89,1670.9,20.4
2021,Barley,4.55,8.78,1375.7,14.0
2024,Barley,3.38,6.49,1928.3,14.3
2024,Corn,1.12,3.54,563.6,20.5
2024,Soybean,0.76,3.41,898.0,28.9
2020,Corn,3.45,5.34,1402.3,32.4
2020,Barley,2.36,8.49,944.8,12.1
2020,Rice,3.75,7.95,1571.6,19.8
2023,Wheat,4.69,8.52,1638.5,12.5
2021,Soybean,1.06,6.62,653.8,10.4
2020,Soybean,1.99,6.08,1270.8,26.5
2024,Corn,2.17,4.03,1263.3,25.1
2024,Soybean,1.82,5.3,1053.9,14.1
2024,Barley,3.23,6.04,1899.4,15.8
2024,Barley,2.29,3.62,1741.3,10.6
2022,Corn,3.75,4.54,1545.8,30.9
2023,Barley,3.66,7.19,1571.5,34.4
2021,Rice,4.88,8.15,1192.6,13.4
2021,Corn,8.58,9.99,1881.5,15.8
2020,Rice,7.04,9.53,1541.9,31.7
2022,Wheat,4.97,7.5,1593.5,33.2
2021,Rice,4.86,5.95,1792.5,20.5
2023,Wheat,2.3,7.45,911.1,11.3
2024,Wheat,3.49,8.5,1710.6,11.0
2020,Rice,1.38,3.83,792.9,24.3
2023,Corn,2.5,5.87,1018.0,19.8
2021,Barley,2.94,8.88,1003.4,10.7
2022,Barley,4.35,5.69,1967.8,24.6
2020,Wheat,5.01,7.0,1784.8,10.3
2021,Wheat,4.31,7.11,1551.8,29.7
2020,Corn,3.04,4.29,1590.6,17.7
2021,Soybean,1.44,5.54,1343.1,11.0
2024,Rice,4.99,5.34,1920.6,24.7
2022,Wheat,0.95,3.18,1244.4,19.9
2024,Barley,1.34,3.17,1070.8,34.3
2021,Corn,2.66,8.82,744.6,23.6
2023,Rice,3.22,4.91,1679.3,16.9
2024,Corn,6.21,6.63,1601.7,27.7
2023,Rice,2.81,5.09,1076.5,16.8
2021,Rice,1.66,9.58,537.8,32.6
2022,Wheat,2.64,4.82,1758.5,19.4
2023,Corn,1.81,6.01,517.1,23.7
2021,Corn,8.97,9.11,1555.5,11.3
2023,Barley,4.75,8.89,1955.4,20.7
2024,Barley,1.58,4.3,1156.5,30.8
2021,Wheat,2.95,8.62,852.5,30.1
2024,Wheat,4.0,6.21,1557.3,15.6
2020,Soybean,2.3,6.38,1725.7,15.7
2021,Barley,1.55,3.93,1319.6,30.4
2023,Rice,2.15,3.56,1950.6,33.3
2020,Corn,1.93,8.1,577.5,12.4
2024,Wheat,2.78,6.48,1257.2,21.3
2024,Corn,4.77,6.06,1577.7,18.4
2023,Corn,6.95,8.11,1794.0,31.8
2020,Soybean,1.95,8.36,768.9,12.1
2022,Barley,2.7,4.11,1700.0,15.3
2023,Wheat,3.56,7.27,1329.1,28.8
2024,Corn,2.16,3.95,1094.8,11.3
2021,Wheat,1.52,8.26,697.6,22.3
2020,Rice,6.81,7.6,1797.9,21.1
2022,Soybean,2.18,9.7,735.9,18.4
2021,Rice,1.06,3.48,964.7,19.9
2020,Wheat,1.09,3.4,935.1,23.2
2023,Wheat,2.67,4.98,1807.1,14.0
2023,Barley,2.6,4.83,1509.1,24.3
2020,Corn,4.75,4.73,1695.0,30.1
2022,Corn,4.45,9.34,875.7,29.0
2020,Rice,2.7,4.75,1437.3,13.8
2021,Soybean,1.49,4.9,1357.6,13.7
2021,Corn,7.27,8.32,1749.2,16.7
2023,Barley,4.31,6.15,1859.1,19.0
2020,Rice,1.87,8.44,518.2,20.2
2023,Rice,2.5,3.46,1511.0,27.0
2022,Barley,0.99,6.41,577.8,11.4
2021,Soybean,0.89,3.24,1323.3,10.9
2024,Barley,0.89,3.44,931.4,19.8
2024,Soybean,2.43,9.35,960.2,27.4
2020,Barley,1.4,3.97,1029.4,14.8
2020,Barley,2.78,6.73,1431.9,26.0
2024,Wheat,1.72,5.88,1001.1,16.5
2020,Rice,3.16,5.43,1599.0,32.2
2021,Barley,3.37,9.3,1106.8,32.4
2022,Barley,0.63,3.15,602.5,17.4
2022,Corn,8.09,7.65,1675.6,15.7
2023,Rice,3.77,9.74,928.6,20.3
2021,Corn,3.68,6.92,1149.2,16.0
2020,Rice,6.01,9.56,1528.2,26.8
2020,Corn,2.05,3.37,998.7,30.7
2023,Barley,0.93,5.93,584.9,26.8
2023,Barley,2.0,4.82,1060.9,30.6
2020,Wheat,6.25,8.12,1916.7,19.9
2020,Corn,8.84,9.87,1462.6,13.9
2021,Soybean,1.47,4.8,1507.2,28.4
2023,Wheat,4.53,7.58,1448.4,19.0
2021,Corn,2.25,4.39,798.5,26.8
2020,Corn,3.42,6.96,1127.5,16.8
2024,Wheat,3.58,6.25,1626.4,12.0
2024,Barley,1.94,9.8,652.1,34.8
2020,Corn,2.67,7.26,916.8,13.9
2023,Barley,1.45,5.45,914.5,34.7
2024,Wheat,1.52,3.8,1148.0,34.4
2023,Barley,2.34,4.06,1970.6,29.8
2024,Rice,0.96,4.58,601.3,26.5
2023,Soybean,1.34,4.76,1278.1,24.4
2024,Corn,3.53,8.95,769.0,31.7
2023,Soybean,4.14,6.93,1956.0,17.2
2021,Barley,1.21,6.66,670.0,21.7
2023,Corn,1.66,3.8,1105.4,25.5
2021,Barley,4.25,9.02,1606.8,20.3
2021,Rice,4.46,8.06,1556.8,20.7
2020,Wheat,1.4,3.47,1134.1,18.3
2021,Corn,3.18,7.95,1019.8,24.1
2022,Rice,3.26,6.8,1096.4,31.3
2021,Rice,1.64,3.57,896.4,15.0
2023,Corn,3.08,6.21,808.0,33.4
2021,Barley,2.33,6.39,1224.6,27.2
2023,Rice,1.09,4.16,902.8,30.6
2023,Soybean,2.4,9.62,931.2,23.9
2022,Rice,6.82,8.95,1485.1,29.5
2021,Barley,4.72,7.68,1952.8,10.4
2021,Barley,2.41,6.24,1405.5,30.5
2024,Soybean,1.08,5.88,615.5,11.0
2024,Rice,1.37,7.56,613.4,32.2
2020,Barley,4.33,6.82,1927.1,34.8
2023,Corn,2.12,3.44,945.9,17.4
2022,Wheat,1.07,6.59,638.1,15.3
2024,Wheat,3.67,8.64,1398.6,29.1
2021,Wheat,3.42,6.21,1435.5,16.3
2020,Rice,1.66,3.36,1472.8,31.6
2022,Soybean,1.72,8.5,901.1,12.6
2021,Barley,0.91,4.41,522.7,13.1
2021,Corn,4.89,4.81,1947.5,34.5
2023,Corn,2.08,4.15,876.3,26.8
2023,Rice,3.15,5.31,1514.0,31.2
2024,Wheat,4.41,8.3,1559.9,18.1
2024,Rice,4.77,6.64,1415.0,26.9
2021,Soybean,1.14,4.43,969.4,24.9
2021,Soybean,2.53,9.14,906.6,25.1
2024,Barley,4.57,9.16,1396.5,27.1
2024,Barley,5.45,9.09,1799.1,24.4
2021,Soybean,2.26,4.67,1920.1,20.7
2022,Soybean,1.11,6.16,658.9,16.9
2021,Soybean,2.17,9.89,732.2,29.2
2022,Rice,7.09,8.4,1917.1,15.7
2022,Soybean,1.65,3.19,1604.8,27.3
2021,Corn,3.47,3.46,1824.5,15.8
2020,Wheat,1.42,6.25,803.9,25.6
2024,Soybean,2.51,9.36,1381.4,28.7
2023,Wheat,4.27,6.77,1551.7,15.5
2021,Rice,4.03,6.48,1520.2,11.5
2022,Wheat,1.54,3.74,1112.2,13.3
2021,Rice,1.52,7.6,523.1,25.1
2024,Corn,5.55,8.75,1374.4,31.2
2022,Rice,2.0,5.66,879.7,11.1
2023,Rice,3.13,8.43,1175.4,28.4
2023,Barley,5.59,9.75,1936.4,18.5
2023,Soybean,1.0,4.43,1098.6,22.0
2020,Soybean,3.1,6.66,1759.7,33.2
2022,Corn,2.31,5.01,782.8,18.3
2022,Corn,5.11,8.55,1508.7,21.6
2020,Soybean,4.39,7.04,1965.5,10.3
2022,Barley,1.79,7.44,652.8,12.0
2020,Soybean,1.1,8.59,512.5,16.5
2021,Barley,2.11,5.77,1150.4,10.7
2024,Corn,3.25,9.41,638.9,25.8
2023,Wheat,2.97,6.73,1622.6,20.7
2020,Corn,3.74,4.11,1871.8,23.7
2020,Corn,3.93,7.87,1151.0,14.4
2020,Rice,3.61,8.55,888.1,17.4
2021,Rice,1.93,5.22,1151.6,26.6
2020,Rice,7.18,9.0,1585.2,34.1
2024,Rice,2.39,9.34,513.6,11.3
2024,Barley,1.87,4.94,1384.2,32.3
2023,Soybean,3.9,9.88,1419.9,24.4
2021,Wheat,2.11,3.98,1456.5,24.1
2024,Corn,1.5,4.41,863.0,22.5
2022,Barley,2.04,4.29,1571.1,11.7
2022,Wheat,2.42,9.26,637.1,12.2
2022,Barley,2.16,7.58,798.9,25.0
2020,Barley,2.35,4.06,1816.2,18.5
2020,Corn,4.62,6.08,1608.1,32.9
2022,Soybean,0.89,7.31,520.6,20.2
2023,Rice,1.34,3.58,872.6,13.6
2023,Soybean,2.02,9.18,821.6,27.9
2020,Corn,4.59,8.63,906.2,17.3
2022,Corn,3.76,6.54,871.3,23.1
2023,Corn,2.42,9.77,593.8,27.4
2020,Wheat,2.86,5.92,1188.4,32.5
2022,Soybean,4.2,9.89,1599.1,29.8
2021,Soybean,2.12,7.68,1410.1,26.9
2022,Barley,3.72,7.44,1509.3,27.0
2022,Barley,0.94,4.16,621.7,33.6
2024,Barley,6.93,9.17,1927.2,17.4
2024,Corn,4.71,5.99,1757.7,10.0
2021,Soybean,1.75,4.14,1707.6,16.8
2021,Corn,2.45,3.09,1734.5,15.4
2022,Wheat,4.9,6.92,1899.1,26.5
2023,Barley,3.46,6.69,1316.4,25.8
2021,Corn,3.75,8.04,800.4,24.8
2022,Corn,6.41,9.23,1425.2,10.4
2020,Wheat,1.58,3.56,1614.3,28.2
2024,Rice,4.1,8.12,1606.9,18.1
2023,Soybean,1.19,4.31,1282.2,26.6
2022,Rice,2.44,9.01,602.7,23.9
2020,Barley,3.46,8.73,1056.7,18.6
2024,Corn,5.09,6.79,1881.1,13.4
2020,Wheat,4.05,7.97,1376.7,12.4
2022,Wheat,2.14,5.2,1307.5,30.8
2021,Soybean,1.45,6.3,903.3,33.0
2024,Rice,3.7,8.75,1052.7,26.2
2020,Soybean,3.31,6.21,1843.0,12.6
2021,Corn,4.01,5.5,1499.7,20.1
2023,Soybean,2.78,6.46,1681.1,28.2
2022,Wheat,2.89,8.8,1181.5,29.5
2022,Wheat,2.25,5.35,1445.4,13.0
2024,Barley,1.11,4.22,872.6,10.0
2020,Barley,3.76,7.98,1558.2,27.8
2023,Corn,6.68,8.78,1141.4,18.9
2024,Rice,1.49,3.7,1163.8,16.4
2024,Soybean,2.14,4.68,1474.0,10.3
